season,hour,value,source
summer,1,900.5,watttime_cached_TODO_30day_avg
summer,2,895.2,watttime_cached_TODO_30day_avg
summer,3,890.1,watttime_cached_TODO_30day_avg
summer,4,885.3,watttime_cached_TODO_30day_avg
summer,5,882.0,watttime_cached_TODO_30day_avg
summer,6,879.8,watttime_cached_TODO_30day_avg
summer,7,882.5,watttime_cached_TODO_30day_avg
summer,8,890.3,watttime_cached_TODO_30day_avg
summer,9,910.2,watttime_cached_TODO_30day_avg
summer,10,950.4,watttime_cached_TODO_30day_avg
summer,11,1010.5,watttime_cached_TODO_30day_avg
summer,12,1054.72,watttime_cached_TODO_30day_avg
summer,13,1040.3,watttime_cached_TODO_30day_avg
summer,14,1020.1,watttime_cached_TODO_30day_avg
summer,15,998.5,watttime_cached_TODO_30day_avg
summer,16,975.3,watttime_cached_TODO_30day_avg
summer,17,955.2,watttime_cached_TODO_30day_avg
summer,18,940.1,watttime_cached_TODO_30day_avg
summer,19,925.4,watttime_cached_TODO_30day_avg
summer,20,910.8,watttime_cached_TODO_30day_avg
summer,21,870.16,watttime_cached_TODO_30day_avg
summer,22,878.3,watttime_cached_TODO_30day_avg
summer,23,890.2,watttime_cached_TODO_30day_avg
summer,24,898.5,watttime_cached_TODO_30day_avg
winter,1,945.2,watttime_cached_TODO_30day_avg
winter,2,942.1,watttime_cached_TODO_30day_avg
winter,3,938.5,watttime_cached_TODO_30day_avg
winter,4,935.2,watttime_cached_TODO_30day_avg
winter,5,920.47,watttime_cached_TODO_30day_avg
winter,6,922.3,watttime_cached_TODO_30day_avg
winter,7,928.4,watttime_cached_TODO_30day_avg
winter,8,935.6,watttime_cached_TODO_30day_avg
winter,9,942.3,watttime_cached_TODO_30day_avg
winter,10,948.7,watttime_cached_TODO_30day_avg
winter,11,955.2,watttime_cached_TODO_30day_avg
winter,12,960.4,watttime_cached_TODO_30day_avg
winter,13,965.1,watttime_cached_TODO_30day_avg
winter,14,987.54,watttime_cached_TODO_30day_avg
winter,15,982.3,watttime_cached_TODO_30day_avg
winter,16,975.4,watttime_cached_TODO_30day_avg
winter,17,968.2,watttime_cached_TODO_30day_avg
winter,18,960.1,watttime_cached_TODO_30day_avg
winter,19,955.3,watttime_cached_TODO_30day_avg
winter,20,950.4,watttime_cached_TODO_30day_avg
winter,21,945.2,watttime_cached_TODO_30day_avg
winter,22,940.1,watttime_cached_TODO_30day_avg
winter,23,935.8,watttime_cached_TODO_30day_avg
winter,24,930.5,watttime_cached_TODO_30day_avg
shoulder,1,980.2,watttime_cached_TODO_30day_avg
shoulder,2,960.4,watttime_cached_TODO_30day_avg
shoulder,3,940.1,watttime_cached_TODO_30day_avg
shoulder,4,920.5,watttime_cached_TODO_30day_avg
shoulder,5,900.3,watttime_cached_TODO_30day_avg
shoulder,6,880.1,watttime_cached_TODO_30day_avg
shoulder,7,860.4,watttime_cached_TODO_30day_avg
shoulder,8,620.3,watttime_cached_TODO_30day_avg
shoulder,9,200.5,watttime_cached_TODO_30day_avg
shoulder,10,0.0,watttime_cached_TODO_30day_avg
shoulder,11,10.2,watttime_cached_TODO_30day_avg
shoulder,12,50.4,watttime_cached_TODO_30day_avg
shoulder,13,80.1,watttime_cached_TODO_30day_avg
shoulder,14,60.3,watttime_cached_TODO_30day_avg
shoulder,15,40.5,watttime_cached_TODO_30day_avg
shoulder,16,120.8,watttime_cached_TODO_30day_avg
shoulder,17,450.3,watttime_cached_TODO_30day_avg
shoulder,18,780.5,watttime_cached_TODO_30day_avg
shoulder,19,950.2,watttime_cached_TODO_30day_avg
shoulder,20,990.4,watttime_cached_TODO_30day_avg
shoulder,21,1010.5,watttime_cached_TODO_30day_avg
shoulder,22,1030.2,watttime_cached_TODO_30day_avg
shoulder,23,1050.8,watttime_cached_TODO_30day_avg
shoulder,24,1069.24,watttime_cached_TODO_30day_avg
