scenario,season,battery_power_mw,battery_capacity_mwh,battery_duration_hours,cost_savings_usd,cost_savings_usd_battery_off,incremental_bess_savings_usd,battery_weekly_ownership_cost_usd,battery_degradation_cost_usd,net_incremental_bess_value_usd,net_incremental_bess_value_annual_usd,carbon_savings_tons,incremental_bess_carbon_tons,bess_should_be_included
bess_50mw_100mwh,summer,50.0,100.0,2.0,341030.748985345,302673.60986210685,38357.13912323816,110687.12451409572,3235.145149775254,-75565.13054063282,-3929386.7881129067,103.38197118505836,28.366318534575413,NO
bess_50mw_100mwh,winter,50.0,100.0,2.0,42377.95334389433,34790.29415376764,7587.659190126695,110687.12451409572,1133.9781723047824,-104233.4434962738,-5420139.061806237,73.17953471092135,35.980764257289465,NO
bess_50mw_100mwh,shoulder,50.0,100.0,2.0,82273.24090297427,78868.89460098464,3404.34630198963,110687.12451409572,383.66664669809296,-107666.44485880419,-5598655.132657818,467.10254921448603,38.76946507343649,NO
bess_100mw_200mwh,summer,100.0,200.0,2.0,377062.5329840919,302673.60986210685,74388.92312198505,221374.24902819144,6470.290244193755,-153455.61615040014,-7979692.039820807,131.29425329930336,56.278600648820415,NO
bess_100mw_200mwh,winter,100.0,200.0,2.0,47999.16176687647,34790.29415376764,13208.867613108829,221374.24902819144,743.1795390462726,-208908.5609541289,-10863245.169614702,109.15133752856404,71.95256707493216,NO
bess_100mw_200mwh,shoulder,100.0,200.0,2.0,85677.57529257936,78868.89460098464,6808.680691594724,221374.24902819144,767.3330641291834,-215332.9014007259,-11197310.872837747,505.8720878419057,77.53900370085614,NO
bess_200mw_500mwh,summer,200.0,500.0,2.5,420740.6264160499,302673.60986210685,118067.01655394305,505220.622196657,12469.835296669211,-399623.4409393832,-20780418.928847924,215.11841576580704,140.10276311532408,NO
bess_200mw_500mwh,winter,200.0,500.0,2.5,47999.18916285224,34790.29415376764,13208.895009084605,505220.622196657,743.1787891265271,-492754.9059766989,-25623255.11078834,109.15149834658206,71.95272789295018,NO
bess_200mw_500mwh,shoulder,200.0,500.0,2.5,95890.59940323653,78868.89460098464,17021.704802251887,505220.622196657,1918.332683594976,-490117.25007800007,-25486097.004056003,622.1805753555819,193.8474912145324,NO
bess_200mw_800mwh,summer,200.0,800.0,4.0,430294.3194444245,302673.60986210685,127620.70958231762,692636.9946174796,11218.747522997633,-576235.0325581597,-29964221.693024304,325.46432487419247,250.44867222370954,NO
bess_200mw_800mwh,winter,200.0,800.0,4.0,47999.23156395648,34790.29415376764,13208.937410188839,692636.9946174796,743.1752083855283,-680171.2324156763,-35368904.08561517,109.15177498664707,71.95300453301519,NO
bess_200mw_800mwh,shoulder,200.0,800.0,4.0,106103.62042425899,78868.89460098464,27234.725823274348,692636.9946174796,3069.3322472818186,-668471.6010414871,-34760523.25415733,738.4890820938572,310.15599795280764,NO
