season,alpha,cost_baseline_usd,cost_optimized_usd,cost_savings_usd,cost_savings_pct,cost_savings_annualized_usd,carbon_baseline_lbs,carbon_optimized_lbs,carbon_savings_lbs,carbon_savings_pct,carbon_savings_tons,carbon_savings_annualized_tons
summer,0.0,4259265.897017997,4394526.816911418,-135260.91989342123,-3.1756862136294495,-7033567.834457904,78821827.20984407,76709609.41175252,2112217.7980915457,2.679737165275649,1056.108899045773,54917.66275038019
summer,0.1,4259265.897017997,4049889.916703726,209375.9803142706,4.91577622474472,10887550.97634207,78821827.20984407,76844075.28057623,1977751.9292678386,2.5091424536537983,988.8759646339194,51421.55016096381
summer,0.2,4259265.897017997,3948346.8188093184,310919.0782086784,7.299827851235104,16167792.066851277,78821827.20984407,76958882.97269443,1862944.237149641,2.363487758524047,931.4721185748205,48436.550165890665
summer,0.3,4259265.897017997,3765631.385355836,493634.511662161,11.589661777344427,25668994.60643237,78821827.20984407,77363052.54853317,1458774.6613108963,1.850724238385468,729.3873306554482,37928.141194083306
summer,0.4,4259265.897017997,3680794.785791763,578471.1112262337,13.581474489095262,30080497.78376415,78821827.20984407,77742277.93643534,1079549.2734087259,1.3696070132130873,539.7746367043629,28068.281108626874
summer,0.5,4259265.897017997,3603619.093609757,655646.80340824,15.393422699138654,34093633.777228475,78821827.20984407,78274290.92631541,547536.2835286558,0.6946505846292712,273.7681417643279,14235.94337174505
summer,0.6,4259265.897017997,3582468.610165237,676797.2868527598,15.88999849308774,35193458.91634351,78821827.20984407,78473058.55118415,348768.6586599201,0.4424772566251323,174.38432932996005,9067.985125157922
summer,0.7,4259265.897017997,3569780.0342094298,689485.862808567,16.187903725176934,35853264.86604548,78821827.20984407,78647919.41799727,173907.79184679687,0.22063405277805778,86.95389592339843,4521.602588016719
summer,0.8,4259265.897017997,3567347.2990070875,691918.5980109093,16.24502002787232,35979767.09656728,78821827.20984407,78709878.47531404,111948.73453003168,0.142027581055683,55.97436726501584,2910.667097780824
summer,0.9,4259265.897017997,3567249.441538649,692016.4554793476,16.247317547463826,35984855.68492608,78821827.20984407,78713876.03025264,107951.17959143221,0.1369559466111313,53.975589795716104,2806.7306693772375
summer,1.0,4259265.897017997,3567249.4418492625,692016.4551687343,16.24731754017118,35984855.66877419,78821827.20984407,78713876.03630064,107951.17354342341,0.13695593893811864,53.975586771711704,2806.7305121290087
winter,0.0,6608414.401934941,6638729.824086832,-30315.422151890583,-0.4587397264768117,-1576401.9518983103,79954281.94007781,79266951.96577393,687329.9743038863,0.8596537391443395,343.66498715194314,17870.579331901044
winter,0.1,6608414.401934941,6536233.108498095,72181.2934368467,1.0922634242748464,3753427.258716028,79954281.94007781,79342566.88730104,611715.0527767688,0.7650810412320658,305.85752638838443,15904.59137219599
winter,0.2,6608414.401934941,6425135.008375642,183279.3935592994,2.7734246433703564,9530528.46508357,79954281.94007781,79550019.1693713,404262.7707065046,0.505617411472073,202.13138535325228,10510.832038369119
winter,0.3,6608414.401934941,6374898.635311577,233515.76662336476,3.5336126401968895,12142819.864414968,79954281.94007781,79717372.81768158,236909.1223962307,0.2963057345368739,118.45456119811534,6159.637182301998
