scenario,season,alpha,total_cost_norm_baseline,total_cost_norm_optimized,total_carbon_norm_baseline,total_carbon_norm_optimized,objective_norm_baseline,objective_norm_optimized,objective_norm_savings,solver_status
battery_off,summer,0.0,27991.795422817697,28232.951403086423,74921.44023768387,74510.31029313532,74921.44023768387,74510.31029313532,411.12994454854925,optimal
battery_off,summer,0.1,27991.795422817697,27400.232967596025,74921.44023768387,74516.82356907571,70228.47575619725,69805.16450892776,423.311247269492,optimal
battery_off,summer,0.2,27991.795422817697,26861.375921519197,74921.44023768387,74610.32797611754,65535.51127471064,65060.537565197876,474.9737095127639,optimal
battery_off,summer,0.3,27991.795422817697,26341.017915732817,74921.44023768387,74661.06221834343,60842.54679322401,60165.048927560245,677.4978656637686,optimal
battery_off,summer,0.4,27991.795422817697,25974.25432731495,74921.44023768387,74723.74057750602,56149.5823117374,55223.946077429595,925.6362343078072,optimal
battery_off,summer,0.5,27991.795422817697,25860.721811890056,74921.44023768387,74772.30744912897,51456.61783025078,50316.51463050951,1140.103199741272,optimal
battery_off,summer,0.6,27991.795422817697,25596.59733843943,74921.44023768387,74814.34080718005,46763.65334876417,45283.69472593568,1479.9586228284898,optimal
battery_off,summer,0.7,27991.795422817697,25328.84680238727,74921.44023768387,74787.94629295406,42070.68886727755,40166.57664955731,1904.1122177202415,optimal
battery_off,summer,0.8,27991.795422817697,25180.30751406923,74921.44023768387,74826.32363201672,37377.724385790934,35109.510737658726,2268.2136481322086,optimal
battery_off,summer,0.9,27991.795422817697,25036.317989179253,74921.44023768387,74853.79555132438,32684.759904304312,30018.065745393764,2666.694158910548,optimal
battery_off,summer,1.0,27991.795422817697,25033.151179756664,74921.44023768387,74858.57144377721,27991.795422817697,25033.151179756664,2958.644243061033,optimal
battery_off,winter,0.0,71880.68079614085,72193.61440100892,80944.52456479322,80850.38511055359,80944.52456479322,80850.38511055359,94.13945423963014,optimal
battery_off,winter,0.1,71880.68079614085,71719.40120340456,80944.52456479322,80844.59335382245,80038.14018792797,79932.07413878066,106.06604914730997,optimal
battery_off,winter,0.2,71880.68079614085,71641.53381996205,80944.52456479322,80858.79272248485,79131.75581106274,79015.34094198029,116.41486908245133,optimal
battery_off,winter,0.3,71880.68079614085,71599.40040342443,80944.52456479322,80864.64962981259,78225.3714341975,78085.07486189614,140.29657230136218,optimal
battery_off,winter,0.4,71880.68079614085,71595.84250048015,80944.52456479322,80865.51003019526,77318.98705733227,77157.64301830922,161.34403902305348,optimal
battery_off,winter,0.5,71880.68079614085,71532.26084278213,80944.52456479322,80864.14329969586,76412.60268046704,76198.202071239,214.40060922804696,optimal
battery_off,winter,0.6,71880.68079614085,71488.73128395705,80944.52456479322,80860.7097039927,75506.2183036018,75237.52265197132,268.6956516304781,optimal
battery_off,winter,0.7,71880.68079614085,71482.84430609786,80944.52456479322,80861.77672507564,74599.83392673657,74296.5240317912,303.3098949453706,optimal
battery_off,winter,0.8,71880.68079614085,71438.82835461781,80944.52456479322,80863.55785753329,73693.44954987132,73323.7742552009,369.67529467042186,optimal
battery_off,winter,0.9,71880.68079614085,71423.80920651938,80944.52456479322,80865.26872744772,72787.06517300609,72367.95515861221,419.110014393882,optimal
battery_off,winter,1.0,71880.68079614085,71313.43528605273,80944.52456479322,80861.17952905862,71880.68079614085,71313.43528605273,567.2455100881198,optimal
battery_off,shoulder,0.0,43640.85175085891,42650.09349244531,41368.62068201877,40452.053422882454,41368.62068201877,40452.053422882454,916.5672591363182,optimal
battery_off,shoulder,0.1,43640.85175085891,42576.7569759815,41368.62068201877,40444.095669997405,41595.84378890279,40657.36180059581,938.4819883069795,optimal
battery_off,shoulder,0.2,43640.85175085891,42458.11061845698,41368.62068201877,40498.77452427938,41823.066895786804,40890.6417431149,932.4251526719017,optimal
battery_off,shoulder,0.3,43640.85175085891,42331.451485461446,41368.62068201877,40515.50892695005,42050.29000267081,41060.29169450347,989.9983081673417,optimal
battery_off,shoulder,0.4,43640.85175085891,42231.3590626156,41368.62068201877,40561.911433515415,42277.51310955483,41229.69048515549,1047.8226243993413,optimal
battery_off,shoulder,0.5,43640.85175085891,41935.06081269526,41368.62068201877,40673.617012456874,42504.73621643884,41304.338912576066,1200.3973038627737,optimal
battery_off,shoulder,0.6,43640.85175085891,41825.69182307727,41368.62068201877,40753.51161595862,42731.95932332285,41396.81974022981,1335.1395830930414,optimal
battery_off,shoulder,0.7,43640.85175085891,41540.829446666714,41368.62068201877,40933.10728807067,42959.18243020686,41358.5127990879,1600.6696311189662,optimal
battery_off,shoulder,0.8,43640.85175085891,41462.5450876832,41368.62068201877,40950.70322889657,43186.40553709088,41360.176715925874,1826.2288211650084,optimal
battery_off,shoulder,0.9,43640.85175085891,41444.36197058277,41368.62068201877,40969.816523742076,43413.62864397489,41396.9074258987,2016.7212180761853,optimal
battery_off,shoulder,1.0,43640.85175085891,41413.04982168283,41368.62068201877,41034.200665820514,43640.85175085891,41413.04982168283,2227.8019291760793,optimal
bess_50mw_100mwh,summer,0.0,27991.795422817697,28232.951410956062,74921.44023768387,74510.31022641234,74921.44023768387,74510.31022641234,411.1300112715253,optimal
bess_50mw_100mwh,summer,0.1,27991.795422817697,27400.23290754082,74921.44023768387,74516.82354477656,70228.47575619725,69805.16448105298,423.3112751442677,optimal
bess_50mw_100mwh,summer,0.2,27991.795422817697,26861.376437613435,74921.44023768387,74610.32781335202,65535.51127471064,65060.537538204306,474.9737365063338,optimal
bess_50mw_100mwh,summer,0.3,27991.795422817697,26341.017863455425,74921.44023768387,74661.06222448678,60842.54679322401,60165.04891617737,677.4978770466405,optimal
bess_50mw_100mwh,summer,0.4,27991.795422817697,25703.960201457732,74921.44023768387,74669.93489263137,56149.5823117374,55083.545016161916,1066.0372955754865,optimal
bess_50mw_100mwh,summer,0.5,27991.795422817697,25590.42761847807,74921.44023768387,74718.50159563842,51456.61783025078,50154.46460705824,1302.1532231925448,optimal
bess_50mw_100mwh,summer,0.6,27991.795422817697,25326.30296412041,74921.44023768387,74760.53496289664,46763.65334876417,45099.9957636309,1663.6575851332746,optimal
bess_50mw_100mwh,summer,0.7,27991.795422817697,24986.302463785527,74921.44023768387,74754.59953294304,42070.68886727755,39916.79158453278,2153.8972827447724,optimal
bess_50mw_100mwh,summer,0.8,27991.795422817697,24838.97376443396,74921.44023768387,74794.82234383214,37377.724385790934,34830.14348031359,2547.5809054773417,optimal
bess_50mw_100mwh,summer,0.9,27991.795422817697,24695.312897829914,74921.44023768387,74821.29401714193,32684.759904304312,29707.911009761116,2976.8488945431964,optimal
bess_50mw_100mwh,summer,1.0,27991.795422817697,24694.007600576457,74921.44023768387,74821.63510899112,27991.795422817697,24694.007600576457,3297.78782224124,optimal
bess_50mw_100mwh,winter,0.0,71880.68079614085,72193.61431791325,80944.52456479322,80850.38510045837,80944.52456479322,80850.38510045837,94.1394643348467,optimal
bess_50mw_100mwh,winter,0.1,71880.68079614085,71719.4011834273,80944.52456479322,80844.59333815728,80038.14018792797,79932.07412268428,106.06606524369272,optimal
bess_50mw_100mwh,winter,0.2,71880.68079614085,71641.53412507538,80944.52456479322,80858.79264540094,79131.75581106274,79015.34094133583,116.414869726912,optimal
bess_50mw_100mwh,winter,0.3,71880.68079614085,71599.40039892963,80944.52456479322,80864.6496263124,78225.3714341975,78085.07485809756,140.29657609993592,optimal
bess_50mw_100mwh,winter,0.4,71880.68079614085,71564.6866546885,80944.52456479322,80861.66445827326,77318.98705733227,77142.87333683934,176.1137204929255,optimal
bess_50mw_100mwh,winter,0.5,71880.68079614085,71443.81445985625,80944.52456479322,80792.69021321932,76412.60268046704,76118.25233653779,294.35034392925445,optimal
bess_50mw_100mwh,winter,0.6,71880.68079614085,71394.13642122436,80944.52456479322,80793.59752543096,75506.2183036018,75153.92086290699,352.2974406948051,optimal
bess_50mw_100mwh,winter,0.7,71880.68079614085,71388.24947235288,80944.52456479322,80794.66454026528,74599.83392673657,74210.1739927266,389.65993400996376,optimal
bess_50mw_100mwh,winter,0.8,71880.68079614085,71332.52795444017,80944.52456479322,80804.2048340884,73693.44954987132,73226.86333036982,466.586219501507,optimal
bess_50mw_100mwh,winter,0.9,71880.68079614085,71302.9360346448,80944.52456479322,80811.71049318576,72787.06517300609,72253.81348049888,533.2516925072123,optimal
bess_50mw_100mwh,winter,1.0,71880.68079614085,71176.96610754411,80944.52456479322,80814.3607536423,71880.68079614085,71176.96610754411,703.7146885967377,optimal
bess_50mw_100mwh,shoulder,0.0,43640.85175085891,42592.057144807346,41368.62068201877,40375.32011693359,41368.62068201877,40375.32011693359,993.3005650851846,optimal
bess_50mw_100mwh,shoulder,0.1,43640.85175085891,42518.72046163082,41368.62068201877,40367.36226923794,41595.84378890279,40582.49808847723,1013.3457004255615,optimal
bess_50mw_100mwh,shoulder,0.2,43640.85175085891,42382.510501015604,41368.62068201877,40426.256655242956,41823.066895786804,40817.50742439749,1005.5594713893151,optimal
bess_50mw_100mwh,shoulder,0.3,43640.85175085891,42255.85135328052,41368.62068201877,40442.9910630148,42050.29000267081,40986.84915009452,1063.440852576292,optimal
bess_50mw_100mwh,shoulder,0.4,43640.85175085891,42155.758932517114,41368.62068201877,40489.393572382076,42277.51310955483,41155.93971643609,1121.573393118735,optimal
bess_50mw_100mwh,shoulder,0.5,43640.85175085891,41859.46076655539,41368.62068201877,40601.09906316854,42504.73621643884,41230.27991486197,1274.4563015768726,optimal
bess_50mw_100mwh,shoulder,0.6,43640.85175085891,41748.958518664665,41368.62068201877,40682.43621394748,42731.95932332285,41322.34959677779,1409.609726545059,optimal
bess_50mw_100mwh,shoulder,0.7,43640.85175085891,41459.595064278445,41368.62068201877,40860.931948165395,42959.18243020686,41279.99612944453,1679.1863007623324,optimal
bess_50mw_100mwh,shoulder,0.8,43640.85175085891,41384.792399343125,41368.62068201877,40879.581531593816,43186.40553709088,41283.75022579326,1902.6553112976253,optimal
bess_50mw_100mwh,shoulder,0.9,43640.85175085891,41366.979412196786,41368.62068201877,40898.49202480741,43413.62864397489,41320.130673457854,2093.4979705170335,optimal
bess_50mw_100mwh,shoulder,1.0,43640.85175085891,41334.653418569564,41368.62068201877,40963.03373838317,43640.85175085891,41334.653418569564,2306.198332289343,optimal
bess_100mw_200mwh,summer,0.0,27991.795422817697,28232.95141211313,74921.44023768387,74510.31022774997,74921.44023768387,74510.31022774997,411.1300099338987,optimal
bess_100mw_200mwh,summer,0.1,27991.795422817697,27400.232907360994,74921.44023768387,74516.8235447963,70228.47575619725,69805.16448105278,423.31127514447144,optimal
bess_100mw_200mwh,summer,0.2,27991.795422817697,26861.37532258592,74921.44023768387,74610.32812251945,65535.51127471064,65060.53756253275,474.97371217788896,optimal
bess_100mw_200mwh,summer,0.3,27991.795422817697,26341.01856567869,74921.44023768387,74661.06203324426,60842.54679322401,60165.04899297458,677.4978002494317,optimal
bess_100mw_200mwh,summer,0.4,27991.795422817697,25451.57786519577,74921.44023768387,74616.92430149885,56149.5823117374,54950.785726977614,1198.796584759788,optimal
bess_100mw_200mwh,summer,0.5,27991.795422817697,25337.086387858606,74921.44023768387,74665.61032154445,51456.61783025078,50001.34835470153,1455.2694755492557,optimal
bess_100mw_200mwh,summer,0.6,27991.795422817697,25068.07552803245,74921.44023768387,74707.93609699194,46763.65334876417,44924.019755616246,1839.6335931479261,optimal
bess_100mw_200mwh,summer,0.7,27991.795422817697,24657.388944360104,74921.44023768387,74718.65344248558,42070.68886727755,39675.76829379775,2394.9205734798015,optimal
bess_100mw_200mwh,summer,0.8,27991.795422817697,24509.29311989095,74921.44023768387,74759.00873629857,37377.724385790934,34559.23624317247,2818.4881426184656,optimal
bess_100mw_200mwh,summer,0.9,27991.795422817697,24365.632211579188,74921.44023768387,74785.48029628544,32684.759904304312,29407.617020049813,3277.142884254499,optimal
